season_number,season_id,team_id,team_name,is_ai,league_id,roster_count,roster_avg_ovr,team_top8_ovr,youth_budget,locked_budget_total,youth_budget_pct,budget_tier,academy_generated,academy_signed,academy_in_academy,academy_free_market,avg_youth_age,avg_youth_ovr,max_youth_ovr,avg_potential_max,max_potential_max,avg_prospect_score,best_prospect_score,useful_prospect_count,useful_prospect_rate,unusable_prospect_count,fast_growth_count,normal_growth_count,slow_growth_count,potential_s_count,potential_a_count,potential_b_or_lower_count
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,00382ba3-a03a-478a-b1de-885ed82e2bd7,尼罗河源,True,2878e37e-519b-4685-a672-fe91d458de8d,15,65.07,71.12,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,030535fa-155b-40c4-bd0b-5b607d76cf55,那不勒斯,True,ab517030-f61c-4921-9cfc-1fc2a4ea45ae,15,58.47,64.0,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,088a3e39-67b6-4af3-a3f1-57243a4ea661,山楂球西布,True,e5b023fc-b6db-4bdb-936f-c3cdb3c21f04,15,72.0,78.0,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,08e68a0a-8532-4059-94a9-2f3e39b773d7,桑巴舞者,True,ca686455-380e-479f-b3a7-15c6da984f2f,15,81.2,89.25,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0b6c8e7f-d456-42c2-a3d3-7d0140b0a30a,青云直上,True,94b33060-2e8c-40af-bd83-129fdf21c013,15,63.2,68.12,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0bfa5693-ca15-4061-8b0e-8c6dd9ca1281,赤龙焚天,True,27dd6828-771b-41eb-a270-32e5e44a5d92,15,80.8,86.5,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0bfd88bf-5d93-4546-a68a-ea2672fea3af,绿松石绿,True,54635311-65ad-4163-8b78-f13177dc8043,15,64.2,71.75,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0c48b5ba-c8ed-4ffd-b035-8504f9ea9e4e,设拉子酒,True,cc40477a-cee3-4199-84aa-cb88d9700334,15,61.93,69.62,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0cc2f050-fa33-41c9-b708-68ede22520f3,美洲豹王,True,2622f7c4-8f8c-4fe9-90b9-f4c69195f2e7,15,66.93,74.38,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0d068cfb-f9a8-49d6-9c58-26b36efd1e74,飓风之眼,True,460ee5a0-6e07-45f7-8d99-f0cf3d7522c7,15,59.0,63.12,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0d4230bf-57c3-4749-b84a-698e156d601a,祖鲁战士,True,ac391e7e-19d8-480e-938a-774e9c015a22,15,61.2,68.0,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,127cb4f0-913e-4b59-a6ee-cde1054b9ff0,0d487d40-34f0-44e3-85b9-ad92bbcb1671,咖啡起源,True,242d2876-5eec-455f-9274-0a18e32fda46,15,60.0,64.12,0.0,0.0,0.0,low,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
