season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,draft_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,005086b0-7845-473f-8f04-3b1354b43e46,红尘滚滚,True,63c2ac1c-ed4c-488c-a4a8-956c36e1c4e5,4,1,0,0,0,0,0,0,0,0,15,61.73,67.25,89,0,0,0,0,0,0,169000.0,770050.0,455.65,8721000.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,0064d3b5-3f08-4f17-adb7-c0a6a03ce119,金字塔尖,True,64f2b5e3-bfcf-4e8e-96cc-96c8273575a8,1,1,0,0,0,0,0,0,0,0,15,80.53,87.88,95,0,0,0,0,0,0,357500.0,1007250.0,281.75,21717500.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,00cdade8-3d08-49e1-be62-804ebf747e82,马赛马拉,True,231642d0-cae1-4a6e-b888-1e5dac6a07ab,4,1,0,0,0,0,0,0,0,0,15,64.27,71.38,81,0,0,0,0,0,0,169000.0,805250.0,476.48,8721000.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,02b479e9-b46a-493a-98d7-7a06e9f354ec,猫眼石闪,True,1119222a-9211-45db-8249-7f58b983d5d9,4,1,0,0,0,0,0,0,0,0,15,60.27,62.88,66,0,0,0,0,0,0,169000.0,753900.0,446.09,8721000.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,031e8b1e-5ba1-471c-bafb-976a2d97d55c,野马奔腾,True,9207993a-e69e-4a2a-93fc-7802b454f280,4,1,0,0,0,0,0,0,0,0,15,63.2,69.88,78,0,0,0,0,0,0,169000.0,790400.0,467.69,8721000.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,03a77d52-dfcc-44f7-83bb-23b372489072,赤龙焚天,True,f9b6b961-b154-412b-b118-8e62914333fc,1,1,0,0,0,0,0,0,0,0,15,79.4,86.25,96,0,0,0,0,0,0,357500.0,993100.0,277.79,21717500.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,04022ed7-81cc-4e02-9765-6a805bd7f36c,峨眉女侠,True,c08d7459-2dbf-4229-8383-ec481437d59a,4,1,0,0,0,0,0,0,0,0,15,59.8,65.25,71,0,0,0,0,0,0,169000.0,748650.0,442.99,8721000.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,04d78b0a-5b04-4929-86c2-8d4440769716,白虎啸天,True,0766d796-2cf7-4282-808e-76ca3bedf4b5,2,1,0,0,0,0,0,0,0,0,15,74.67,81.12,88,0,0,0,0,0,0,286000.0,936350.0,327.4,17374000.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,0539e9ba-b16e-41cc-9f85-bb4251c77c0d,树懒慢动,True,97c13548-58c4-4f54-9eba-3a5441c36d33,4,1,0,0,0,0,0,0,0,0,15,59.73,67.25,79,0,0,0,0,0,0,169000.0,747050.0,442.04,8721000.0,B,none
1,8a1e2d00-2ea7-4e31-856d-90fcd7a8ab9a,05b07cee-915d-4164-9534-bc0db532d478,北海苍龙,True,f9b6b961-b154-412b-b118-8e62914333fc,1,2,0,0,0,0,0,0,0,0,15,73.53,80.38,96,0,0,0,0,0,0,357500.0,920200.0,257.4,21717500.0,B,none
